Date,Submitted,Verified,Primary_t,Realtime_t,Category
2022-05-15,2022-05-14T16:16:15Z,verified,1542,1542,Any%
2022-05-15,2022-05-16T00:29:36Z,verified,1687,1687,Any%
2022-05-15,2022-05-16T05:42:54Z,verified,1709,1709,Any%
2022-05-16,2022-05-16T02:02:17Z,verified,1538,1538,Any%
2022-05-17,2022-05-17T05:18:10Z,verified,1526,1526,Any%
2022-05-17,2022-05-17T07:29:57Z,verified,1536,1536,Any%
2022-05-18,2022-05-17T22:42:50Z,verified,1521,1521,Any%
2022-05-18,2022-05-17T23:41:38Z,verified,1524,1524,Any%
2022-05-19,2022-05-20T00:22:12Z,verified,1665,1665,Any%
2022-05-21,2022-05-21T18:13:46Z,verified,1535,1535,Any%
2022-05-23,2022-05-22T15:10:37Z,verified,1518,1518,Any%
2022-05-27,2022-05-27T00:00:44Z,verified,1518,1518,Any%
2022-05-27,2022-05-27T17:14:59Z,verified,1529,1529,Any%
2022-05-27,2022-05-27T19:54:03Z,verified,1506,1506,Any%
2022-05-28,2022-05-28T16:02:44Z,verified,1977,1977,Any%
2022-05-29,2022-05-30T09:15:28Z,verified,2915,2915,Any%
2022-06-04,2022-06-03T15:42:15Z,verified,1659,1659,Any%
2022-06-04,2022-06-06T15:29:08Z,verified,1827,1827,Any%
2022-06-09,2022-06-08T17:09:12Z,verified,1450,1450,Any%
2022-06-11,2022-06-11T15:42:17Z,verified,1395,1395,Any%
2022-06-13,2022-06-13T13:36:52Z,verified,1632,1632,Any%
2022-06-16,2022-06-15T16:06:05Z,verified,1388,1388,Any%
2022-06-16,2022-06-16T16:41:56Z,verified,1372,1372,Any%
2022-06-21,2022-06-20T15:01:16Z,verified,1351,1351,Any%
2022-06-24,2022-06-23T15:53:12Z,verified,1339,1339,Any%
2022-06-24,2022-06-24T09:09:05Z,verified,1300,1300,Any%
2022-06-24,2022-06-24T17:06:20Z,verified,1296,1296,Any%
2022-06-30,2022-06-30T06:23:45Z,verified,1453,1453,Any%
2022-07-01,2022-06-30T17:09:24Z,verified,1483,1483,Any%
2022-07-01,2022-07-02T00:24:02Z,verified,1631,1631,Any%
2022-07-02,2022-07-02T11:16:42Z,verified,1586,1586,Any%
2022-07-02,2022-07-17T22:21:55Z,verified,2355,2355,Any%
2022-07-03,2022-07-03T13:36:22Z,verified,1376,1376,Any%
2022-07-05,2022-07-05T05:44:27Z,verified,1349,1349,Any%
2022-07-11,2022-07-11T14:10:28Z,verified,2890,2890,Any%
2022-07-15,2022-07-15T02:16:42Z,verified,1520,1520,Any%
2022-07-21,2022-07-21T10:43:20Z,verified,1286,1286,Any%
2022-07-21,2022-07-21T17:43:20Z,verified,1269,1269,Any%
2022-07-27,2022-07-28T05:32:55Z,verified,1269,1269,Any%
2022-07-31,2022-07-31T04:23:36Z,verified,1862,1862,Any%
2022-08-02,2022-08-02T11:42:30Z,verified,1237,1237,Any%
2022-08-05,2022-08-04T22:17:36Z,verified,1381,1381,Any%
2022-08-05,2022-08-05T13:53:56Z,verified,1225,1225,Any%
2022-08-07,2022-08-08T01:01:52Z,verified,1657,1657,Any%
2022-08-11,2022-08-10T22:34:05Z,verified,1470,1470,Any%
2022-08-24,2022-08-24T13:11:35Z,verified,1218,1218,Any%
2022-08-24,2022-08-24T18:06:32Z,verified,1665,1665,Any%
2022-08-26,2022-08-26T21:48:54Z,verified,1274,1274,Any%
2022-08-27,2022-08-27T14:00:01Z,verified,1216,1216,Any%
2022-08-29,2022-08-29T13:52:17Z,verified,1213,1213,Any%
2022-08-29,2022-08-29T18:51:30Z,verified,1253,1253,Any%
2022-09-02,2022-09-01T23:04:37Z,verified,1236,1236,Any%
2022-09-06,2022-09-05T22:53:24Z,verified,1307,1307,Any%
2022-09-14,2022-09-14T12:03:04Z,verified,1203,1203,Any%
2022-09-15,2022-09-15T22:46:42Z,verified,1202,1202,Any%
2022-09-17,2022-09-18T01:00:52Z,verified,1189,1189,Any%
2022-10-30,2022-10-30T09:37:16Z,verified,1283,1283,Any%
2023-02-15,2023-02-15T18:08:50Z,verified,1770,1770,Any%
2023-03-11,2023-03-14T06:17:18Z,verified,1884,1884,Any%
2023-03-20,2023-03-20T01:11:29Z,verified,1418,1418,Any%
2023-04-18,2023-04-18T14:58:01Z,verified,1180,1180,Any%
2023-05-24,2023-05-24T11:04:46Z,verified,2737,2737,Any%
2023-06-08,2023-06-08T11:27:52Z,verified,2468,2468,Any%
2023-06-12,2023-06-12T11:41:34Z,verified,2008,2008,Any%
2023-06-30,2023-06-29T18:51:21Z,verified,1734,1734,Any%
2023-07-24,2023-07-24T12:25:08Z,verified,1596,1596,Any%
2023-08-01,2023-08-01T19:39:22Z,verified,1539,1539,Any%
2023-08-09,2023-08-09T11:19:47Z,verified,1227,1227,Any%
2023-08-09,2023-08-09T11:51:58Z,verified,1452,1452,Any%
2023-08-12,2023-08-12T12:42:41Z,verified,1205,1205,Any%
2023-08-22,2023-08-22T07:40:44Z,verified,2477,2477,Any%
2023-08-25,2023-08-25T07:46:26Z,verified,2328,2328,Any%
2023-09-12,2023-09-13T01:26:37Z,verified,1822,1822,Any%
2023-09-22,2023-09-22T11:04:20Z,verified,1278,1278,Any%
2023-10-06,2023-10-06T03:10:28Z,verified,1702,1702,Any%
2023-10-07,2023-10-07T00:53:12Z,verified,1609,1609,Any%
2023-10-10,2023-10-10T06:31:53Z,verified,1536,1536,Any%
2023-10-19,2023-10-19T23:59:45Z,verified,1478,1478,Any%
2023-10-25,2023-10-25T15:57:46Z,verified,1170,1170,Any%
2023-12-24,2023-12-24T05:38:48Z,verified,1255,1255,Any%
2024-01-07,2024-01-07T02:03:27Z,verified,1441,1441,Any%
2024-02-24,2024-02-24T05:15:52Z,verified,1229,1229,Any%
2022-03-22,2022-03-25T06:10:47Z,verified,1477,1477,Any% Unrestricted
2022-03-25,2022-03-26T21:52:07Z,verified,1417,1417,Any% Unrestricted
