Date,Submitted,Verified,Primary_t,Realtime_t
2023-06-30,2023-06-29T22:35:16Z,verified,5046,5046
2023-06-25,2023-06-26T15:27:49Z,verified,5855,5855
2023-06-24,2023-06-24T23:24:25Z,verified,3554,3554
2023-06-22,2023-06-21T22:22:42Z,verified,6555,6555
2023-06-21,2023-06-21T21:19:53Z,verified,3361,3361
2023-06-20,2023-06-21T09:23:14Z,verified,3370,3370
2023-06-20,2023-06-20T12:34:07Z,verified,4378,4378
2023-06-19,2023-06-20T03:02:42Z,verified,4398,4398
2023-06-19,2023-06-19T19:52:27Z,verified,6648,6648
2023-06-12,2023-06-12T11:41:34Z,verified,2008,2008
2023-06-10,2023-06-11T18:06:14Z,verified,3370,3370
2023-06-09,2023-06-09T06:18:32Z,verified,3389,3389
2023-06-08,2023-06-08T11:27:52Z,verified,2468,2468
2023-06-07,2023-06-07T00:32:51Z,verified,7231,7231
2023-06-07,2023-06-06T20:37:17Z,verified,4517,4517
2023-06-07,2023-09-22T22:34:50Z,verified,5147,5147
2023-05-31,2023-05-31T12:13:15Z,verified,282,282
2023-05-30,2023-06-03T09:50:20Z,verified,7153,7153
2023-05-30,2023-05-30T21:35:40Z,verified,6547,6547
2023-05-24,2023-05-24T11:04:46Z,verified,2737,2737
2023-05-21,2023-05-21T14:56:23Z,verified,6816,6816
2023-05-20,2023-05-20T19:09:55Z,verified,3387,3387
2023-05-17,2023-05-17T13:59:52Z,verified,4623,4623
2023-05-15,2023-05-15T21:49:05Z,verified,3399,3399
2023-05-14,2023-05-13T22:06:04Z,verified,4595,4595
2023-05-13,2023-05-14T00:33:40Z,verified,3400,3400
2023-05-13,2023-05-13T08:25:48Z,verified,3682,3682
2023-05-12,2023-05-12T18:53:10Z,verified,4755,4755
2023-05-11,2023-05-12T16:06:03Z,verified,3409,3409
2023-05-11,2023-05-21T22:53:04Z,verified,3493,3493
2023-05-10,2023-05-09T20:33:08Z,verified,4137,4137
2023-05-10,2023-05-10T06:08:20Z,verified,3420,3420
2023-05-08,2023-05-08T12:07:35Z,verified,3726,3726
2023-05-07,2023-05-08T01:01:03Z,verified,6778,6778
2023-05-06,2023-05-06T22:51:39Z,verified,3737,3737
2023-04-30,2023-04-30T00:32:41Z,verified,4193,4193
2023-04-27,2023-04-28T03:53:15Z,verified,6769,6769
2023-04-26,2023-04-26T11:53:39Z,verified,3493,3493
2023-04-25,2023-04-25T11:54:00Z,verified,3598,3598
2023-04-23,2023-04-23T19:27:54Z,verified,4375,4375
2023-04-23,2023-05-01T21:13:35Z,verified,3429,3429
2023-04-23,2023-04-23T01:46:27Z,verified,4847,4847
2023-04-22,2023-04-22T11:23:03Z,verified,3699,3699
2023-04-20,2023-04-21T04:23:37Z,verified,4842,4842
2023-04-18,2023-04-18T14:58:01Z,verified,1180,1180
2023-04-18,2023-04-18T22:02:48Z,verified,4150,4150
2023-04-16,2023-04-16T01:34:25Z,verified,4660,4660
2023-04-16,2023-04-16T22:08:00Z,verified,3432,3432
2023-04-12,2023-04-12T09:32:45Z,verified,3604,3604
2023-04-12,2023-04-12T15:41:31Z,verified,4825,4825
2023-04-08,2023-04-08T18:33:17Z,verified,4928,4928
2023-04-08,2023-04-08T00:45:39Z,verified,9553,9553
2023-04-08,2023-04-08T00:45:39Z,verified,9553,9553
2023-04-07,2023-04-07T10:13:53Z,verified,3703,3703
2023-04-06,2023-04-06T12:21:21Z,verified,2499,2499
2023-04-02,2023-04-03T06:57:50Z,verified,3387,3387
2023-04-02,2023-04-02T22:16:20Z,verified,5035,5035
2023-04-02,2023-04-03T08:54:30Z,verified,3404,3404
2023-03-31,2023-03-31T19:41:24Z,verified,6714,6714
2023-03-30,2023-03-30T14:50:48Z,verified,4529,4529
2023-03-29,2023-03-28T23:57:33Z,verified,3472,3472
2023-03-29,2023-03-30T10:28:01Z,verified,3410,3410
2023-03-29,2023-03-28T23:57:33Z,verified,3472,3472
2023-03-27,2023-03-28T09:35:39Z,verified,3511,3511
2023-03-27,2023-03-27T08:54:06Z,verified,4035,4035
2023-03-27,2023-03-27T16:39:12Z,verified,5030,5030
2023-03-26,2023-03-27T08:14:33Z,verified,3421,3421
2023-03-23,2023-03-23T12:56:40Z,verified,3430,3430
2023-03-20,2023-03-20T01:11:29Z,verified,1418,1418
2023-03-20,2023-03-21T03:20:12Z,verified,3415,3415
2023-03-19,2023-03-20T03:12:38Z,verified,3506,3506
2023-03-18,2023-03-18T10:13:29Z,verified,3448,3448
2023-03-16,2023-03-16T21:48:54Z,verified,9636,9636
2023-03-16,2023-03-28T14:10:58Z,verified,3594,3594
2023-03-15,2023-03-15T16:11:51Z,verified,4663,4663
2023-03-14,2023-03-28T08:18:50Z,verified,4039,4039
2023-03-14,2023-03-15T11:21:00Z,verified,3470,3470
2023-03-13,2023-03-13T11:04:01Z,verified,3759,3759
2023-03-13,2023-03-13T10:46:24Z,verified,3833,3833
2023-03-13,2023-03-17T20:08:55Z,verified,3435,3435
2023-03-12,2023-03-13T04:01:56Z,verified,4187,4187
2023-03-11,2023-03-11T07:38:56Z,verified,3542,3542
2023-03-11,2023-03-11T07:38:56Z,verified,3542,3542
2023-03-11,2023-03-14T06:29:44Z,verified,3546,3546
2023-03-09,2023-03-09T19:43:54Z,verified,3620,3620
2023-03-06,2023-03-06T16:48:50Z,verified,9098,9098
2023-03-06,2023-03-05T16:57:37Z,verified,3615,3615
2023-03-06,2023-03-06T21:16:42Z,verified,6760,6760
2023-03-05,2023-03-06T08:34:41Z,verified,3481,3481
2023-03-04,2023-03-04T09:11:04Z,verified,3783,3783
2023-03-02,2023-03-02T13:28:44Z,verified,7239,7239
2023-03-02,2023-03-03T19:09:11Z,verified,3549,3549
2023-03-02,2023-03-03T19:09:11Z,verified,3549,3549
2023-03-01,2023-03-01T14:25:39Z,verified,3515,3515
2023-02-28,2023-03-02T08:21:21Z,verified,3585,3585
2023-02-26,2023-02-26T06:42:33Z,verified,3927,3927
2023-02-25,2023-02-24T21:45:35Z,verified,9770,9770
2023-02-25,2023-03-02T12:15:11Z,verified,3266,3266
2023-02-23,2023-02-23T14:44:05Z,verified,358,358
2023-02-23,2023-02-25T10:52:15Z,verified,3706,3706
2023-02-22,2023-02-22T21:13:26Z,verified,5187,5187
2023-02-21,2023-02-19T16:35:07Z,verified,398,398
2023-02-21,2023-02-19T16:35:07Z,verified,398,398
2023-02-20,2023-02-20T02:27:55Z,verified,10186,10186
2023-02-19,2023-02-20T01:14:17Z,verified,5419,5419
2023-02-18,2023-02-18T13:38:49Z,verified,6650,6650
2023-02-16,2023-02-16T12:12:38Z,verified,6726,6726
2023-02-15,2023-02-16T16:35:41Z,verified,4162,4162
2023-02-15,2023-02-15T18:08:50Z,verified,1770,1770
2023-02-15,2023-02-15T13:05:11Z,verified,3851,3851
2023-02-15,2023-02-21T19:25:26Z,verified,4066,4066
2023-02-13,2023-02-14T20:28:11Z,verified,3662,3662
2023-02-11,2023-02-11T11:05:18Z,verified,7052,7052
2023-02-10,2023-02-10T19:00:49Z,verified,7104,7104
2023-02-08,2023-02-08T06:02:51Z,verified,4486,4486
2023-02-07,2023-02-07T05:25:25Z,verified,4045,4045
2023-02-04,2023-02-05T08:48:03Z,verified,6859,6859
2023-01-31,2023-01-31T11:46:58Z,verified,6806,6806
2023-01-29,2023-01-29T10:21:38Z,verified,7276,7276
2023-01-26,2023-01-26T11:06:18Z,verified,6938,6938
2023-01-26,2023-01-26T09:09:14Z,verified,7334,7334
2023-01-21,2023-01-21T21:24:31Z,verified,6997,6997
2023-01-19,2023-01-19T13:49:05Z,verified,5408,5408
2023-01-16,2023-01-17T11:42:33Z,verified,6996,6996
2023-01-11,2023-01-11T15:38:45Z,verified,7651,7651
2022-12-30,2022-12-31T06:10:55Z,verified,4430,4430
2022-12-28,2022-12-27T23:19:19Z,verified,7787,7787
2022-12-26,2022-12-26T21:32:40Z,verified,4089,4089
2022-12-23,2022-12-23T11:32:33Z,verified,6713,6713
2022-12-22,2022-12-22T11:17:25Z,verified,7031,7031
2022-12-18,2022-12-18T18:35:19Z,verified,9941,9941
2022-12-18,2022-12-18T16:00:50Z,verified,9405,9405
2022-12-17,2022-12-17T18:01:30Z,verified,7606,7606
2022-12-13,2022-12-13T12:02:39Z,verified,7042,7042
2022-12-12,2022-12-12T12:46:28Z,verified,4090,4090
2022-12-12,2022-12-12T21:57:15Z,verified,7048,7048
2022-12-11,2022-12-11T21:13:50Z,verified,4883,4883
2022-12-11,2022-12-11T07:37:31Z,verified,7657,7657
2022-12-06,2022-12-13T16:54:26Z,verified,3676,3676
2022-12-05,2022-12-05T02:10:09Z,verified,7934,7934
2022-12-05,2022-12-05T13:16:01Z,verified,6314,6314
2022-12-05,2022-12-05T21:46:13Z,verified,7120,7120
2022-12-02,2022-12-02T21:18:16Z,verified,7130,7130
2022-12-02,2022-12-02T05:36:40Z,verified,7445,7445
2022-11-25,2022-11-26T13:34:58Z,verified,7179,7179
2022-11-24,2022-11-24T20:31:55Z,verified,8084,8084
2022-11-23,2022-11-24T07:48:56Z,verified,3820,3820
2022-11-23,2022-11-23T02:37:36Z,verified,8228,8228
2022-11-22,2022-11-22T21:06:36Z,verified,8384,8384
2022-11-21,2022-11-21T19:55:14Z,verified,4170,4170
2022-11-20,2022-11-20T11:10:08Z,verified,7234,7234
2022-11-14,2022-11-15T11:02:42Z,verified,7301,7301
2022-11-12,2022-11-13T15:55:29Z,verified,7457,7457
2022-11-12,2022-11-13T18:55:04Z,verified,7238,7238
2022-10-30,2022-10-30T09:37:16Z,verified,1283,1283
2022-10-19,2022-10-19T14:00:21Z,verified,4402,4402
2022-10-17,2022-10-17T00:44:09Z,verified,3693,3693
2022-10-14,2022-10-14T18:31:45Z,verified,4197,4197
2022-10-14,2022-10-14T07:02:47Z,verified,3734,3734
2022-10-12,2022-10-12T21:43:08Z,verified,4196,4196
2022-10-11,2022-10-11T17:23:23Z,verified,4002,4002
2022-10-07,2022-10-08T10:57:53Z,verified,3522,3522
2022-10-06,2022-10-06T07:01:18Z,verified,3771,3771
2022-10-04,2022-10-04T17:05:19Z,verified,4348,4348
2022-09-29,2022-09-28T17:41:24Z,verified,4819,4819
2022-09-26,2022-09-25T23:35:39Z,verified,10140,10140
2022-09-26,2022-09-26T14:42:34Z,verified,4481,4481
2022-09-22,2022-09-22T21:05:42Z,verified,3870,3870
2022-09-21,2022-09-21T19:18:10Z,verified,3674,3674
2022-09-21,2022-09-21T20:03:31Z,verified,10447,10447
2022-09-21,2022-09-21T10:04:05Z,verified,4563,4563
2022-09-19,2022-09-19T19:07:42Z,verified,3695,3695
2022-09-18,2022-09-17T23:05:33Z,verified,4238,4238
2022-09-17,2022-09-17T16:27:02Z,verified,3551,3551
2022-09-17,2022-09-18T01:00:52Z,verified,1189,1189
2022-09-16,2022-09-16T06:45:53Z,verified,8714,8714
2022-09-16,2022-09-16T21:33:24Z,verified,2632,2632
2022-09-15,2022-09-15T22:46:42Z,verified,1202,1202
2022-09-14,2022-09-14T12:03:04Z,verified,1203,1203
2022-09-14,2022-09-15T10:39:54Z,verified,3561,3561
2022-09-13,2022-09-13T05:17:12Z,verified,3636,3636
2022-09-13,2022-09-13T21:23:11Z,verified,4709,4709
2022-09-12,2022-09-14T13:21:46Z,verified,4535,4535
2022-09-10,2022-09-10T10:51:47Z,verified,3573,3573
2022-09-10,2022-09-11T20:15:51Z,verified,4820,4820
2022-09-09,2022-09-09T03:29:22Z,verified,9246,9246
2022-09-07,2022-09-08T09:23:06Z,verified,3566,3566
2022-09-06,2022-09-05T22:53:24Z,verified,1307,1307
2022-09-06,2022-09-06T17:35:52Z,verified,5389,5389
2022-09-05,2022-09-06T14:04:22Z,verified,3587,3587
2022-09-05,2022-09-06T00:26:10Z,verified,3695,3695
2022-09-03,2022-09-03T18:36:29Z,verified,3961,3961
2022-09-03,2022-09-03T18:36:29Z,verified,3961,3961
2022-09-02,2022-09-02T09:53:39Z,verified,2646,2646
2022-09-02,2022-09-01T23:04:37Z,verified,1236,1236
2022-09-02,2022-09-03T06:23:59Z,verified,3730,3730
2022-09-01,2022-09-01T16:03:17Z,verified,4866,4866
2022-08-31,2022-09-01T00:06:41Z,verified,3581,3581
2022-08-31,2022-08-31T21:10:08Z,verified,4415,4415
2022-08-29,2022-08-29T13:52:17Z,verified,1213,1213
2022-08-29,2022-08-29T19:01:10Z,verified,2944,2944
2022-08-29,2022-08-29T18:51:30Z,verified,1253,1253
2022-08-28,2022-08-29T10:20:46Z,verified,3606,3606
2022-08-27,2022-08-27T12:01:05Z,verified,3602,3602
2022-08-27,2022-08-27T14:00:01Z,verified,1216,1216
2022-08-26,2022-08-26T19:48:16Z,verified,3346,3346
2022-08-26,2022-08-26T13:30:00Z,verified,4927,4927
2022-08-26,2022-08-27T22:59:21Z,verified,3621,3621
2022-08-26,2022-08-26T21:48:54Z,verified,1274,1274
2022-08-25,2022-08-25T03:27:41Z,verified,4008,4008
2022-08-24,2022-08-24T18:06:32Z,verified,1665,1665
2022-08-24,2022-08-24T13:11:35Z,verified,1218,1218
2022-08-23,2022-08-23T10:28:32Z,verified,3611,3611
2022-08-23,2022-08-23T04:53:21Z,verified,10712,10712
2022-08-22,2022-08-23T11:00:27Z,verified,3760,3760
2022-08-22,2022-08-22T03:45:43Z,verified,3630,3630
2022-08-22,2022-08-22T05:20:20Z,verified,3992,3992
2022-08-19,2022-08-20T08:18:06Z,verified,3779,3779
2022-08-19,2022-08-19T18:45:50Z,verified,3770,3770
2022-08-19,2022-08-19T05:25:40Z,verified,4024,4024
2022-08-18,2022-08-18T16:49:03Z,verified,4288,4288
2022-08-17,2022-08-18T00:09:39Z,verified,3757,3757
2022-08-15,2022-08-15T05:23:36Z,verified,236,236
2022-08-13,2022-08-13T21:57:55Z,verified,3871,3871
2022-08-12,2022-08-12T19:21:17Z,verified,3790,3790
2022-08-11,2022-08-10T22:50:34Z,verified,3808,3808
2022-08-11,2022-08-11T07:32:16Z,verified,2678,2678
2022-08-11,2022-08-10T22:34:05Z,verified,1470,1470
2022-08-09,2022-08-09T22:11:55Z,verified,3835,3835
2022-08-09,2022-08-09T06:05:18Z,verified,242,242
2022-08-08,2022-08-09T11:45:29Z,verified,3827,3827
2022-08-07,2022-08-08T01:01:52Z,verified,1657,1657
2022-08-06,2022-08-06T19:58:09Z,verified,3849,3849
2022-08-06,2022-08-06T19:04:41Z,verified,3688,3688
2022-08-06,2022-08-06T13:16:18Z,verified,4811,4811
2022-08-05,2022-08-04T22:17:36Z,verified,1381,1381
2022-08-05,2022-08-05T13:53:56Z,verified,1225,1225
2022-08-05,2022-08-05T09:56:17Z,verified,3708,3708
2022-08-05,2022-08-06T14:18:28Z,verified,3620,3620
2022-08-04,2022-08-04T07:36:33Z,verified,4117,4117
2022-08-02,2022-08-02T16:19:20Z,verified,3649,3649
2022-08-02,2022-08-02T09:14:38Z,verified,3862,3862
2022-08-02,2022-08-02T11:42:30Z,verified,1237,1237
2022-08-01,2022-08-01T17:43:21Z,verified,3730,3730
2022-07-31,2022-07-31T04:23:36Z,verified,1862,1862
2022-07-31,2022-08-01T00:11:30Z,verified,4196,4196
2022-07-31,2022-07-31T09:38:01Z,verified,4220,4220
2022-07-31,2022-07-30T16:44:58Z,verified,3775,3775
2022-07-30,2022-07-30T06:22:01Z,verified,3904,3904
2022-07-30,2022-07-30T18:30:33Z,verified,238,238
2022-07-29,2022-07-29T00:35:51Z,verified,5956,5956
2022-07-27,2022-07-28T05:32:55Z,verified,1269,1269
2022-07-27,2022-07-28T19:12:27Z,verified,3867,3867
2022-07-26,2022-07-26T11:52:07Z,verified,4734,4734
2022-07-26,2022-07-26T20:05:57Z,verified,3910,3910
2022-07-26,2022-07-26T13:11:51Z,verified,246,246
2022-07-24,2022-07-24T22:14:12Z,verified,4979,4979
2022-07-23,2022-07-23T19:35:07Z,verified,3953,3953
2022-07-21,2022-07-21T10:43:20Z,verified,1286,1286
2022-07-21,2022-07-21T10:41:05Z,verified,272,272
2022-07-21,2022-07-21T22:29:04Z,verified,3943,3943
2022-07-21,2022-07-21T18:10:05Z,verified,263,263
2022-07-21,2022-07-21T21:44:03Z,verified,3783,3783
2022-07-21,2022-07-21T18:10:05Z,verified,263,263
2022-07-21,2022-07-21T17:54:32Z,verified,4566,4566
2022-07-20,2022-07-20T07:01:28Z,verified,4275,4275
2022-07-20,2022-07-20T15:26:43Z,verified,3837,3837
2022-07-20,2022-07-21T09:45:54Z,verified,3711,3711
2022-07-19,2022-07-19T11:04:29Z,verified,3747,3747
2022-07-19,2022-07-20T07:47:07Z,verified,3939,3939
2022-07-19,2022-07-19T16:53:45Z,verified,5317,5317
2022-07-19,2022-07-19T21:32:39Z,verified,3944,3944
2022-07-18,2022-07-18T17:08:16Z,verified,298,298
2022-07-17,2022-07-17T04:20:28Z,verified,4654,4654
2022-07-16,2022-07-16T15:12:35Z,verified,3884,3884
2022-07-16,2022-07-16T16:43:57Z,verified,4080,4080
2022-07-15,2022-07-15T05:47:21Z,verified,4718,4718
2022-07-15,2022-07-15T12:45:12Z,verified,310,310
2022-07-15,2022-07-15T14:49:08Z,verified,3872,3872
2022-07-15,2022-07-15T02:16:42Z,verified,1520,1520
2022-07-15,2022-07-15T09:34:40Z,verified,4010,4010
2022-07-14,2022-07-14T11:36:22Z,verified,3386,3386
2022-07-14,2022-07-14T21:12:52Z,verified,5217,5217
2022-07-14,2022-07-15T10:22:02Z,verified,3782,3782
2022-07-13,2022-07-13T13:36:33Z,verified,5283,5283
2022-07-12,2022-07-12T21:06:19Z,verified,3940,3940
2022-07-12,2022-07-12T08:53:54Z,verified,3793,3793
2022-07-12,2022-07-12T17:33:57Z,verified,4132,4132
2022-07-11,2022-07-11T14:10:28Z,verified,2890,2890
2022-07-11,2022-07-18T12:29:56Z,verified,3949,3949
2022-07-10,2022-07-10T08:12:09Z,verified,5288,5288
2022-07-09,2022-07-09T07:18:04Z,verified,3964,3964
2022-07-09,2022-07-09T07:18:04Z,verified,3964,3964
2022-07-09,2022-07-14T23:40:55Z,verified,5890,5890
2022-07-09,2022-07-09T15:48:08Z,verified,4160,4160
2022-07-08,2022-07-08T18:45:05Z,verified,2809,2809
2022-07-08,2022-07-08T08:32:16Z,verified,416,416
2022-07-07,2022-07-07T00:25:31Z,verified,4112,4112
2022-07-07,2022-07-07T05:53:09Z,verified,3936,3936
2022-07-07,2022-07-08T21:32:00Z,verified,4028,4028
2022-07-06,2022-07-06T23:38:25Z,verified,4057,4057
2022-07-06,2022-07-06T20:34:12Z,verified,3994,3994
